comparison,prompt,model,winners_accuracy,debaters_accuracy,mrr,ndcg
vs_Judges_HardVote,0.0,0,,,,0.9820905845220305
vs_Judges_HardVote,1.0,claude,0.5555555555555556,0.4117647058823529,0.7916666666666666,0.9254082536926416
vs_Judges_HardVote,1.0,gemini,0.7058823529411765,0.45588235294117646,0.8489583333333334,0.9536804061210329
vs_Judges_HardVote,1.0,gpt4o,0.4444444444444444,0.38235294117647056,0.6895833333333333,0.9080069976351355
vs_Judges_HardVote,2.0,claude,0.5882352941176471,0.4117647058823529,0.8020833333333334,0.951634713281863
vs_Judges_HardVote,2.0,gemini,0.5294117647058824,0.39705882352941174,0.734375,0.9290808512973724
vs_Judges_HardVote,2.0,gpt4o,0.5294117647058824,0.4117647058823529,0.734375,0.9314768684677349
vs_Judges_HardVote,4.0,claude,0.4444444444444444,0.375,0.7948717948717949,0.7521864984845293
vs_Judges_HardVote,4.0,gemini,0.5882352941176471,0.375,0.8111111111111111,0.8578976545858505
vs_Judges_HardVote,4.0,gpt4o,0.5555555555555556,0.45588235294117646,0.765625,0.917397014858506
vs_Judges_SoftVote,0.0,0,,,,1.0
vs_Judges_SoftVote,1.0,claude,0.47058823529411764,0.39705882352941174,0.71875,0.9049951761062017
vs_Judges_SoftVote,1.0,gemini,0.625,0.45588235294117646,0.7760416666666666,0.9323670619612359
vs_Judges_SoftVote,1.0,gpt4o,0.5294117647058824,0.4264705882352941,0.73125,0.9107558042502187
vs_Judges_SoftVote,2.0,claude,0.5,0.4264705882352941,0.7291666666666666,0.9270462597250888
vs_Judges_SoftVote,2.0,gemini,0.5,0.4117647058823529,0.6927083333333334,0.9073182746133828
vs_Judges_SoftVote,2.0,gpt4o,0.5,0.4852941176470588,0.7135416666666666,0.9157596828064712
vs_Judges_SoftVote,4.0,claude,0.47058823529411764,0.39285714285714285,0.7948717948717949,0.7514376110893637
vs_Judges_SoftVote,4.0,gemini,0.5625,0.453125,0.7722222222222223,0.8475816379824305
vs_Judges_SoftVote,4.0,gpt4o,0.5294117647058824,0.47058823529411764,0.7447916666666666,0.899806138865932
vs_SelfAssessment,0.0,0,,,,0.9426217582427453
vs_SelfAssessment,1.0,claude,0.5833333333333334,0.39705882352941174,0.921875,0.9455435492095168
vs_SelfAssessment,1.0,gemini,0.5217391304347826,0.4264705882352941,0.859375,0.9533258055384477
vs_SelfAssessment,1.0,gpt4o,0.375,0.3088235294117647,0.7708333333333334,0.9321745704582116
vs_SelfAssessment,2.0,claude,0.6086956521739131,0.39705882352941174,0.921875,0.9640371507075886
vs_SelfAssessment,2.0,gemini,0.4782608695652174,0.3382352941176471,0.8177083333333334,0.9440690865416922
vs_SelfAssessment,2.0,gpt4o,0.5652173913043478,0.35294117647058826,0.890625,0.9585773126239785
vs_SelfAssessment,4.0,claude,0.4,0.32142857142857145,0.8653846153846154,0.7731668613814004
vs_SelfAssessment,4.0,gemini,0.391304347826087,0.3125,0.7777777777777778,0.8557671112825275
vs_SelfAssessment,4.0,gpt4o,0.52,0.47058823529411764,0.890625,0.9518286025329548
