comparison,prompt,model,winners_accuracy,debaters_accuracy,mrr,ndcg,kendall_tau,spearman_rho
vs_Judges_HardVote,1,claude,0.5555555555555556,0.4117647058823529,0.7916666666666666,0.9254082536926416,0.5927807092221381,0.6748393957309983
vs_Judges_HardVote,1,gemini,0.7058823529411765,0.45588235294117646,0.8489583333333334,0.9536804061210329,0.6309213442139733,0.6807936242928871
vs_Judges_HardVote,1,gpt4o,0.4444444444444444,0.38235294117647056,0.6895833333333333,0.9080069976351355,0.3369205161782551,0.36573102156008797
vs_Judges_HardVote,2,claude,0.5882352941176471,0.4117647058823529,0.8020833333333334,0.951634713281863,0.6182962273761295,0.71561497485081
vs_Judges_HardVote,2,gemini,0.5294117647058824,0.39705882352941174,0.734375,0.9290808512973724,0.5009396540193294,0.5708664693789715
vs_Judges_HardVote,2,gpt4o,0.5294117647058824,0.4117647058823529,0.734375,0.9314768684677349,0.5766295607094629,0.6356086382401058
vs_Judges_HardVote,3,claude,0.5,0.3235294117647059,0.75,0.9197155048316292,0.5201809398586669,0.5986758943656402
vs_Judges_HardVote,3,gemini,0.4444444444444444,0.3559322033898305,0.7107142857142856,0.781332787732472,0.47683543441978954,0.5289622717703625
vs_Judges_HardVote,3,gpt4o,0.3333333333333333,0.27941176470588236,0.7291666666666666,0.8708835273179294,0.1861974616211225,0.20035158709073309
vs_Judges_HardVote,4,claude,0.4444444444444444,0.375,0.7948717948717949,0.7521864984845293,0.5052939773141741,0.6083900537507383
vs_Judges_HardVote,4,gemini,0.5882352941176471,0.375,0.8111111111111111,0.8578976545858505,0.6887151802049417,0.7645467129123421
vs_Judges_HardVote,4,gpt4o,0.5555555555555556,0.45588235294117646,0.765625,0.917397014858506,0.43451587557323373,0.48874939851641475
vs_Judges_SoftVote,1,claude,0.47058823529411764,0.39705882352941174,0.71875,0.9049951761062017,0.49038776640678816,0.6155427061281571
vs_Judges_SoftVote,1,gemini,0.625,0.45588235294117646,0.7760416666666666,0.9323670619612359,0.5226319863548125,0.6165569415042095
vs_Judges_SoftVote,1,gpt4o,0.5294117647058824,0.4264705882352941,0.73125,0.9107558042502187,0.462120426250861,0.5179092553389459
vs_Judges_SoftVote,2,claude,0.5,0.4264705882352941,0.7291666666666666,0.9270462597250888,0.5237210997401215,0.6530427061281571
vs_Judges_SoftVote,2,gemini,0.5,0.4117647058823529,0.6927083333333334,0.9073182746133828,0.41538776640678815,0.5280427061281571
vs_Judges_SoftVote,2,gpt4o,0.5,0.4852941176470588,0.7135416666666666,0.9157596828064712,0.5403877664067881,0.6155427061281571
vs_Judges_SoftVote,3,claude,0.5294117647058824,0.35294117647058826,0.7395833333333333,0.9038897526221024,0.4668535246724388,0.5703313767893095
vs_Judges_SoftVote,3,gemini,0.47058823529411764,0.4067796610169492,0.6988095238095238,0.7682319279446574,0.48454938017322957,0.5371343870540335
vs_Judges_SoftVote,3,gpt4o,0.391304347826087,0.2647058823529412,0.7604166666666666,0.8506101725473967,0.22618245744013532,0.24000669152111573
vs_Judges_SoftVote,4,claude,0.47058823529411764,0.39285714285714285,0.7948717948717949,0.7514376110893637,0.6184551696823083,0.7128360111161632
vs_Judges_SoftVote,4,gemini,0.5625,0.453125,0.7722222222222223,0.8475816379824305,0.6519691730561296,0.7499122198700342
vs_Judges_SoftVote,4,gpt4o,0.5294117647058824,0.47058823529411764,0.7447916666666666,0.899806138865932,0.4608053540052363,0.5188619352026798
vs_SelfAssessment,1,claude,0.7222222222222222,0.43333333333333335,0.9642857142857143,0.9599929125047411,0.6772533053243512,0.7400744775268769
vs_SelfAssessment,1,gemini,0.6470588235294118,0.4666666666666667,0.8928571428571429,0.9688869197378048,0.6667122539406387,0.7168170959978051
vs_SelfAssessment,1,gpt4o,0.5,0.3333333333333333,0.8214285714285714,0.943413085920929,0.4434034344297291,0.4888085295343287
vs_SelfAssessment,2,claude,0.7647058823529411,0.43333333333333335,0.9642857142857143,0.9811284570739659,0.6682459731955489,0.7334586940792442
vs_SelfAssessment,2,gemini,0.5294117647058824,0.3,0.7976190476190476,0.946990655557716,0.5417585302659134,0.6249631869280712
vs_SelfAssessment,2,gpt4o,0.7058823529411765,0.36666666666666664,0.9285714285714286,0.9785264696236108,0.5749679492654971,0.6516614053453018
vs_SelfAssessment,3,claude,0.6,0.4166666666666667,0.880952380952381,0.9471740727642753,0.6686389470872827,0.7439430973350802
vs_SelfAssessment,3,gemini,0.3888888888888889,0.3333333333333333,0.7430555555555555,0.7811392115932884,0.47264324558099474,0.5505457844791031
vs_SelfAssessment,3,gpt4o,0.46153846153846156,0.48333333333333334,0.880952380952381,0.9204687032733695,0.4502701162911379,0.4867353198519472
vs_SelfAssessment,4,claude,0.5294117647058824,0.375,0.9090909090909091,0.7629909835583223,0.7084283018275078,0.7824237141408854
vs_SelfAssessment,4,gemini,0.5294117647058824,0.3392857142857143,0.8333333333333334,0.8560902754344328,0.6863476466674238,0.7526815931905243
vs_SelfAssessment,4,gpt4o,0.631578947368421,0.5,0.9285714285714286,0.9708136580910122,0.60639072040554,0.682120522016837
